"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2025-03-01 00:02:32+08:00",20.28,20.9,20.28,20.28,1014.0,97.0,1014.0,907.0,0.31,144.0,1.98,100.0,"2025-03-01 05:53:16+08:00","2025-03-01 17:51:13+08:00","Clouds","overcast clouds","Malaybalay",""
10000.0,"2025-03-01 00:02:34+08:00",25.64,26.22,25.64,25.64,1015.0,75.0,1015.0,1016.0,2.65,20.0,4.62,73.0,"2025-03-01 06:14:01+08:00","2025-03-01 18:04:38+08:00","Clouds","broken clouds","Malolos",""
10000.0,"2025-03-01 00:00:22+08:00",26.15,26.15,24.94,26.91,1014.0,75.0,1014.0,1014.0,1.54,110.0,"",75.0,"2025-03-01 06:12:57+08:00","2025-03-01 18:03:52+08:00","Clouds","broken clouds","Mandaluyong City",""
10000.0,"2025-03-01 00:02:38+08:00",26.98,29.51,26.98,26.98,1013.0,78.0,1013.0,999.0,3.09,340.0,"",75.0,"2025-03-01 05:59:03+08:00","2025-03-01 17:54:38+08:00","Clouds","broken clouds","Mandaue City",""
10000.0,"2025-03-01 00:00:02+08:00",26.06,26.06,25.03,27.0,1014.0,75.0,1014.0,1017.0,1.54,110.0,"",75.0,"2025-03-01 06:13:12+08:00","2025-03-01 18:04:05+08:00","Clouds","broken clouds","Manila",""
10000.0,"2025-03-01 00:02:42+08:00",19.86,20.43,19.86,19.86,1013.0,97.0,1013.0,928.0,0.98,351.0,1.42,100.0,"2025-03-01 05:56:21+08:00","2025-03-01 17:54:28+08:00","Clouds","overcast clouds","Marawi",""
10000.0,"2025-03-01 00:02:45+08:00",25.13,26.07,25.13,25.13,1012.0,91.0,1012.0,1002.0,4.7,87.0,8.65,100.0,"2025-03-01 05:52:34+08:00","2025-03-01 17:48:49+08:00","Clouds","overcast clouds","Mati",""
10000.0,"2025-03-01 00:02:47+08:00",25.67,26.36,25.65,27.02,1015.0,79.0,1015.0,1015.0,1.34,21.0,2.24,58.0,"2025-03-01 06:13:21+08:00","2025-03-01 18:04:06+08:00","Clouds","broken clouds","Meycauayan",""
10000.0,"2025-03-01 00:02:49+08:00",21.36,21.72,21.36,21.36,1015.0,83.0,1015.0,1010.0,2.11,77.0,5.1,8.0,"2025-03-01 06:14:08+08:00","2025-03-01 18:03:47+08:00","Clear","clear sky","Muñoz",""
10000.0,"2025-03-01 00:02:50+08:00",23.21,24.01,23.21,23.21,1014.0,93.0,1014.0,1007.0,2.53,55.0,4.25,95.0,"2025-03-01 06:03:51+08:00","2025-03-01 17:55:50+08:00","Clouds","overcast clouds","Naga",""
10000.0,"2025-03-01 00:02:52+08:00",25.81,26.46,25.05,27.03,1014.0,77.0,1014.0,1019.0,1.54,110.0,"",75.0,"2025-03-01 06:13:21+08:00","2025-03-01 18:04:11+08:00","Clouds","broken clouds","Navotas",""
10000.0,"2025-03-01 00:02:54+08:00",25.03,25.49,25.03,25.03,1015.0,73.0,1015.0,997.0,3.6,60.0,"",20.0,"2025-03-01 06:16:07+08:00","2025-03-01 18:06:46+08:00","Clouds","few clouds","Olongapo",""
10000.0,"2025-03-01 00:02:56+08:00",23.5,24.39,23.5,23.5,1013.0,95.0,1013.0,993.0,1.13,4.0,2.92,83.0,"2025-03-01 05:56:43+08:00","2025-03-01 17:51:34+08:00","Clouds","broken clouds","Ormoc",""
10000.0,"2025-03-01 00:02:58+08:00",24.39,25.37,24.39,24.39,1012.0,95.0,1012.0,998.0,0.54,9.0,1.19,100.0,"2025-03-01 05:58:33+08:00","2025-03-01 17:56:09+08:00","Clouds","overcast clouds","Oroquieta",""
10000.0,"2025-03-01 00:03:01+08:00",24.65,25.55,24.65,24.65,1012.0,91.0,1012.0,971.0,3.33,10.0,7.39,99.0,"2025-03-01 05:58:16+08:00","2025-03-01 17:56:13+08:00","Clouds","overcast clouds","Ozamiz City",""
10000.0,"2025-03-01 00:03:02+08:00",22.91,23.68,22.91,22.91,1011.0,93.0,1011.0,992.0,1.47,21.0,2.58,99.0,"2025-03-01 05:59:40+08:00","2025-03-01 17:57:59+08:00","Clouds","overcast clouds","Pagadian",""
